pos	gpos	p1	ihh1	p2	ihh2	xpehh	normxpehh	crit
scaffold161_178021	178021	178021	0.025	12332.4	0.1	7205.08	0.53744	0.703845	0
scaffold161_178249	178249	178249	0.55	12639.1	0.425	8826.33	0.359057	0.286503	0
scaffold161_178269	178269	178269	0	18214.9	0.1	14273.7	0.243821	0.0168982	0
scaffold161_178270	178270	178270	0	18214.9	0.1	14273.7	0.243821	0.0168982	0
scaffold161_186940	186940	186940	0.125	17220.8	0.35	13953.4	0.210391	-0.0613142	0
scaffold161_186971	186971	186971	0.125	17220.8	0.325	13884.2	0.215362	-0.0496841	0
scaffold161_186996	186996	186996	0.575	14130.3	0.275	13100.8	0.075655	-0.376541	0
scaffold161_187219	187219	187219	0.125	14166.6	0.35	13611.3	0.0399907	-0.45998	0
scaffold161_187233	187233	187233	0.125	14166.6	0.35	13611.3	0.0399907	-0.45998	0
scaffold161_187241	187241	187241	0.575	15717	0.3	21144.4	-0.296632	-1.24754	0
scaffold161_260913	260913	260913	0.425	18578.5	0.25	28942.6	-0.443307	-1.5907	0
scaffold161_260969	260969	260969	0.2	21672.4	0.05	39042.3	-0.588606	-1.93064	0
scaffold161_261175	261175	261175	0.225	26870.3	0.025	40829.9	-0.418396	-1.53242	0
scaffold161_345047	345047	345047	0.05	35229.2	0.075	40201.6	-0.132031	-0.86244	0
scaffold161_360089	360089	360089	0.5	23808	0.275	27897.2	-0.158507	-0.924383	0
scaffold161_363181	363181	363181	0.075	26702.6	0.025	30600.8	-0.136262	-0.872339	0
scaffold161_363184	363184	363184	0.475	19897.9	0.475	18592.2	0.0678711	-0.394752	0
scaffold161_363191	363191	363191	0.4	22729.4	0.275	20675.7	0.0947	-0.331983	0
scaffold161_363195	363195	363195	0.025	22231.5	0.2	18275.9	0.195929	-0.0951493	0
scaffold161_363210	363210	363210	0.4	22817.5	0.275	18283.4	0.221533	-0.0352465	0
scaffold161_363223	363223	363223	0	22822.4	0.1	18173.8	0.227762	-0.0206732	0
scaffold161_363230	363230	363230	0.4	22817.5	0.275	18378.4	0.216352	-0.0473679	0
scaffold161_363240	363240	363240	0.4	22817.5	0.275	18378.4	0.216352	-0.0473679	0
scaffold161_363435	363435	363435	0	22878.3	0.2	18389.2	0.218425	-0.0425179	0
scaffold161_363487	363487	363487	0.4	22817.5	0.275	22564	0.0111726	-0.527403	0
scaffold161_402699	402699	402699	0.025	37552.8	0.075	32277	0.15139	-0.199352	0
scaffold161_402704	402704	402704	0.75	30119.2	0.325	25972.1	0.148137	-0.206963	0
scaffold161_402735	402735	402735	0.175	30473.4	0.425	22728.6	0.293227	0.132488	0
scaffold161_402740	402740	402740	0.175	30473.4	0.425	22728.6	0.293227	0.132488	0
scaffold161_402751	402751	402751	0.175	30473.4	0.425	22728.6	0.293227	0.132488	0
scaffold161_402928	402928	402928	0.15	29638.6	0.275	23387.3	0.236883	0.000666169	0
scaffold161_402988	402988	402988	0.15	29638.6	0.35	24036.9	0.209486	-0.0634315	0
scaffold161_413942	413942	413942	0.175	29426.8	0.425	24137.5	0.19814	-0.0899765	0
scaffold161_413950	413950	413950	0.15	28337.1	0.3	23088.5	0.204836	-0.0743106	0
scaffold161_414133	414133	414133	0.15	28337.1	0.3	23088.5	0.204836	-0.0743106	0
scaffold161_414141	414141	414141	0.15	28337.1	0.3	23088.5	0.204836	-0.0743106	0
scaffold161_414144	414144	414144	0.275	23989	0.025	24126.5	-0.00571317	-0.566909	0
scaffold161_414155	414155	414155	0.175	28633.2	0.425	24331.7	0.162786	-0.17269	0
scaffold161_421304	421304	421304	0.25	27479.8	0.35	25484	0.0754003	-0.377137	0
scaffold161_421392	421392	421392	0.275	32364.4	0.5	27418.1	0.165855	-0.16551	0
scaffold161_423003	423003	423003	0	49019.3	0.2	30940.3	0.460155	0.52303	0
scaffold161_465260	465260	465260	0.525	40398.5	0.475	36300.5	0.10696	-0.3033	0
scaffold161_465283	465283	465283	0.525	48169.1	0.475	43740.1	0.0964505	-0.327888	0
scaffold161_475397	475397	475397	0	57975.4	0.1	52417.8	0.100772	-0.317777	0
scaffold161_499774	499774	499774	0.55	50134	0.475	48322.9	0.0367944	-0.467459	0
scaffold161_499842	499842	499842	0.55	50134	0.45	50207.2	-0.00145916	-0.556956	0
scaffold161_530800	530800	530800	0.075	59729.2	0.175	56525.3	0.0551331	-0.424554	0
scaffold161_531018	531018	531018	0.075	59729.2	0.175	56525.3	0.0551331	-0.424554	0
scaffold161_568586	568586	568586	0.25	49674.5	0.15	57754.3	-0.150705	-0.90613	0
scaffold161_749843	749843	749843	0.575	42732.9	0.45	50980.9	-0.176481	-0.966435	0
scaffold161_749858	749858	749858	0.125	39129.6	0.125	53894.3	-0.320145	-1.30255	0
scaffold161_749882	749882	749882	0.4	37092.8	0.2	52697.8	-0.35115	-1.37509	0
scaffold161_750034	750034	750034	0.3	33413.9	0	60496.9	-0.59362	-1.94237	0
scaffold161_750052	750052	750052	0.125	33406.9	0.125	60466.4	-0.593327	-1.94168	0
scaffold161_750063	750063	750063	0.3	35398.3	0.025	62705.7	-0.571789	-1.89129	0
scaffold161_788030	788030	788030	0.2	30148.1	0.075	60307.2	-0.693329	-2.17565	1
scaffold161_788247	788247	788247	0.175	26428.5	0.2	47799.9	-0.592582	-1.93994	0
scaffold161_788284	788284	788284	0.4	23947.7	0.225	43009.4	-0.585547	-1.92348	0
scaffold161_788297	788297	788297	0.4	23947.7	0.225	43009.4	-0.585547	-1.92348	0
scaffold161_791253	791253	791253	0.275	33217.3	0.05	52255	-0.453064	-1.61352	0
scaffold161_791472	791472	791472	0.275	33217.3	0.05	52255	-0.453064	-1.61352	0
scaffold161_838451	838451	838451	0.25	34371.9	0.225	41533.8	-0.189268	-0.996351	0
scaffold161_838751	838751	838751	0.175	41750.2	0.4	35037.2	0.175294	-0.143427	0
scaffold161_861829	861829	861829	0	50536.5	0.175	43066.9	0.159939	-0.179351	0
scaffold161_861856	861856	861856	0.3	41052.8	0.2	42332.2	-0.0306894	-0.625343	0
scaffold161_862146	862146	862146	0.3	41052.8	0.1	50806.3	-0.213161	-1.05225	0
scaffold161_888525	888525	888525	0.3	41052.8	0.075	52033.8	-0.237034	-1.1081	0
scaffold161_888572	888572	888572	0.35	37968.7	0.1	50185.8	-0.27897	-1.20622	0
scaffold161_901684	901684	901684	0.3	38212.9	0.025	51334.7	-0.295195	-1.24418	0
scaffold161_901745	901745	901745	0.75	30758.9	0.3	37763.8	-0.20517	-1.03356	0
scaffold161_901772	901772	901772	0.75	30758.9	0.3	37763.8	-0.20517	-1.03356	0
scaffold161_901783	901783	901783	0.75	30758.9	0.3	37763.8	-0.20517	-1.03356	0
scaffold161_902011	902011	902011	0.7	30735.3	0.275	38040.4	-0.213235	-1.05242	0
scaffold161_902026	902026	902026	0.7	30735.3	0.275	38040.4	-0.213235	-1.05242	0
scaffold161_988963	988963	988963	0.475	26897.8	0.25	37330.2	-0.327757	-1.32036	0
scaffold162_76875	76875	76875	0.1	59629.6	0.125	20807.3	1.05285	1.90969	0
scaffold162_76933	76933	76933	0.1	59629.6	0.125	20807.3	1.05285	1.90969	0
scaffold162_76947	76947	76947	0.1	59629.6	0.125	20807.3	1.05285	1.90969	0
scaffold162_77127	77127	77127	0.075	59883.1	0.1	21225.5	1.03719	1.87305	0
scaffold162_82770	82770	82770	0.075	60605.8	0.275	21440.8	1.03909	1.8775	0
scaffold162_82785	82785	82785	0.125	60221.9	0.325	21231.4	1.04256	1.88562	0
scaffold162_82786	82786	82786	0	60223.4	0.15	20432.9	1.08092	1.97536	0
scaffold162_82798	82798	82798	0.125	60221.9	0.325	25842.8	0.846003	1.42576	0
scaffold162_82815	82815	82815	0.125	60221.9	0.325	25842.8	0.846003	1.42576	0
scaffold162_83035	83035	83035	0.075	65635.7	0.275	27918.9	0.854815	1.44637	0
scaffold162_83060	83060	83060	0.075	65635.7	0.275	27918.9	0.854815	1.44637	0
scaffold162_99024	99024	99024	0.125	64818.5	0.2	36608.2	0.571319	0.783108	0
scaffold162_99050	99050	99050	0.025	64764.9	0.175	36483.6	0.573899	0.789144	0
scaffold162_99085	99085	99085	0.125	65166.2	0.225	35772.7	0.599757	0.849641	0
scaffold162_99372	99372	99372	0.125	65166.2	0.175	37600.6	0.549921	0.733046	0
scaffold162_99383	99383	99383	0.125	65166.2	0.2	37751.6	0.545913	0.723669	0
scaffold162_115456	115456	115456	0	77286.6	0.125	44434.6	0.553502	0.741424	0
scaffold162_151551	151551	151551	0.05	74903.5	0.125	42863.5	0.558179	0.752366	0
scaffold162_151816	151816	151816	0.025	74325.1	0.15	39167.5	0.640601	0.9452	0
scaffold162_303871	303871	303871	0	75194.3	0.15	38958.9	0.657569	0.984898	0
scaffold162_303900	303900	303900	0.275	48651.5	0.25	27196.9	0.581578	0.80711	0
scaffold162_303901	303901	303901	0	48962.6	0.15	23633.1	0.728408	1.15063	0
scaffold162_304092	304092	304092	0.475	33875.8	0.275	16420.1	0.724198	1.14078	0
scaffold162_304105	304105	304105	0.15	32334	0.1	14037.4	0.834397	1.3986	0
scaffold162_304114	304114	304114	0.3	33134.6	0.3	14607.2	0.819067	1.36274	0
scaffold162_304123	304123	304123	0.475	37011.1	0.275	19787.5	0.626169	0.911435	0
scaffold162_304125	304125	304125	0	54726	0.15	31363.6	0.556691	0.748885	0
scaffold162_420103	420103	420103	0.075	51133.3	0.05	35861.7	0.354766	0.276464	0
scaffold162_420137	420137	420137	0.1	46358.1	0	37040.6	0.22438	-0.0285857	0
scaffold162_420168	420168	420168	0	49851.8	0.2	31259.3	0.466738	0.538432	0
scaffold162_476599	476599	476599	0.125	42748.8	0.025	35013.8	0.199597	-0.0865677	0
scaffold162_476609	476609	476609	0.05	40095.5	0.05	31638.8	0.236879	0.00065681	0
scaffold162_476668	476668	476668	0.25	27048.8	0.175	24318.2	0.106417	-0.30457	0
scaffold162_476788	476788	476788	0.225	17227.9	0.1	19936.2	-0.146005	-0.895134	0
scaffold162_476806	476806	476806	0.325	19134.2	0.3	18975.1	0.0083498	-0.534007	0
scaffold162_476851	476851	476851	0.25	17380.7	0.175	18302.9	-0.0516956	-0.674489	0
scaffold162_476852	476852	476852	0.05	16293.2	0.05	17593.6	-0.0767861	-0.73319	0
scaffold162_476863	476863	476863	0.25	16549.9	0.175	18271.1	-0.0989433	-0.785029	0
scaffold162_476876	476876	476876	0.325	17336.4	0.3	18882	-0.0854021	-0.753348	0
scaffold162_486058	486058	486058	0.325	16153.7	0.325	14622.7	0.0995755	-0.320577	0
scaffold162_486077	486077	486077	0.3	16543.5	0.25	14582.5	0.126172	-0.258352	0
scaffold162_486092	486092	486092	0.1	23058.7	0.025	20460.4	0.119554	-0.273835	0
scaffold162_486110	486110	486110	0.1	23058.7	0.025	19713.9	0.156721	-0.18688	0
scaffold162_486112	486112	486112	0.1	23058.7	0.025	19713.9	0.156721	-0.18688	0
scaffold162_486115	486115	486115	0.1	23058.7	0.025	19713.9	0.156721	-0.18688	0
scaffold162_486290	486290	486290	0.1	23058.7	0.175	17919.5	0.252154	0.036394	0
scaffold162_486292	486292	486292	0.1	23058.7	0.175	17919.5	0.252154	0.036394	0
scaffold162_486323	486323	486323	0.1	23066.1	0.025	22769.6	0.0129391	-0.52327	0
scaffold162_486334	486334	486334	0.1	23066.1	0.025	22769.6	0.0129391	-0.52327	0
scaffold162_507822	507822	507822	0.075	22628.2	0.175	19868.6	0.130055	-0.249267	0
scaffold162_507826	507826	507826	0.075	22628.2	0.175	19868.6	0.130055	-0.249267	0
scaffold162_507832	507832	507832	0.3	15035.8	0.35	12819.4	0.159476	-0.180434	0
scaffold162_507849	507849	507849	0.1	14510	0.1	11169.3	0.261674	0.0586669	0
scaffold162_507850	507850	507850	0.3	11191.3	0.375	7109.28	0.453735	0.50801	0
scaffold162_508023	508023	508023	0.175	11328.4	0.1	9494.53	0.176595	-0.140383	0
scaffold162_508060	508060	508060	0.35	10088.4	0.325	8889.21	0.126549	-0.25747	0
scaffold162_509939	509939	509939	0.225	9285.68	0.175	9025.01	0.0284741	-0.486925	0
scaffold162_509942	509942	509942	0.375	8939.45	0.325	7969.34	0.114872	-0.284789	0
scaffold162_509947	509947	509947	0.175	8679.49	0.125	8175.01	0.05988	-0.413448	0
scaffold162_509950	509950	509950	0.175	8679.49	0.125	8175.01	0.05988	-0.413448	0
scaffold162_509967	509967	509967	0.575	7812.62	0.475	7045.49	0.103352	-0.311741	0
scaffold162_509988	509988	509988	0.375	7814.26	0.375	7029.84	0.105786	-0.306047	0
scaffold162_509994	509994	509994	0.175	7790.44	0.125	6979.49	0.109921	-0.296372	0
scaffold162_510007	510007	510007	0.375	8037.22	0.275	7643.84	0.0501832	-0.436134	0
scaffold162_510197	510197	510197	0.15	8059.28	0.175	7663.28	0.0503845	-0.435663	0
scaffold162_510214	510214	510214	0.55	7993.08	0.475	9278.3	-0.149103	-0.902382	0
scaffold162_510215	510215	510215	0.125	9342.32	0.1	9821.56	-0.0500252	-0.670581	0
scaffold162_510232	510232	510232	0.2	9547.66	0.15	10025.5	-0.0488409	-0.66781	0
scaffold162_510236	510236	510236	0.1	10606.9	0	10959.8	-0.0327259	-0.630107	0
scaffold162_510250	510250	510250	0.35	11030	0.3	10952.8	0.00702206	-0.537113	0
scaffold162_510286	510286	510286	0.225	19897.1	0.175	19782.7	0.00576712	-0.54005	0
scaffold162_562273	562273	562273	0.1	23809.4	0.025	24202	-0.0163525	-0.5918	0
scaffold162_562335	562335	562335	0.15	20013.6	0.175	18851.2	0.0598362	-0.41355	0
scaffold162_562456	562456	562456	0.2	16079.3	0.325	12559	0.247094	0.0245557	0
scaffold162_562486	562486	562486	0.1	16247.6	0.025	12663.6	0.249209	0.0295039	0
scaffold162_562490	562490	562490	0.15	16684.6	0.175	12738.6	0.269845	0.0777836	0
scaffold162_562497	562497	562497	0.3	16880.9	0.375	11785.7	0.359294	0.287057	0
scaffold162_562525	562525	562525	0.125	25825.2	0.275	17045.8	0.415446	0.41843	0
scaffold162_569601	569601	569601	0	31988.7	0.1	25491.1	0.227053	-0.022332	0
scaffold162_586391	586391	586391	0.625	21803.4	0.35	20691.4	0.0523514	-0.431062	0
scaffold162_586438	586438	586438	0.625	19079.9	0.35	16751.6	0.13014	-0.249068	0
scaffold162_586440	586440	586440	0.125	17897.3	0.025	18736.4	-0.0458207	-0.660744	0
scaffold162_586465	586465	586465	0.625	21642.7	0.35	19310.6	0.114013	-0.286799	0
scaffold162_586472	586472	586472	0.05	30914.8	0.05	26874.4	0.140062	-0.225855	0
scaffold162_586766	586766	586766	0.075	33481.3	0.075	28899.4	0.147167	-0.209232	0
scaffold162_660966	660966	660966	0.05	33833.1	0.05	28582.1	0.16866	-0.158947	0
scaffold162_660999	660999	660999	0.05	33833.1	0.05	28582.1	0.16866	-0.158947	0
scaffold162_661026	661026	661026	0.4	21243.9	0.225	18215.1	0.15382	-0.193667	0
scaffold162_661182	661182	661182	0.225	26308.4	0.325	15430.1	0.53357	0.694791	0
scaffold162_661195	661195	661195	0.225	25806.2	0.325	12818.2	0.699745	1.08357	0
scaffold162_661243	661243	661243	0.05	27611.1	0.05	16238.9	0.530812	0.688339	0
scaffold162_661275	661275	661275	0.225	27941.2	0.275	16814.7	0.50785	0.634617	0
scaffold162_661323	661323	661323	0.225	27941.2	0.375	16666.2	0.516721	0.655372	0
scaffold162_661368	661368	661368	0.225	27941.2	0.375	16666.2	0.516721	0.655372	0
scaffold162_661552	661552	661552	0.225	27941.2	0.375	16666.2	0.516721	0.655372	0
scaffold162_661573	661573	661573	0.225	27941.2	0.375	16666.2	0.516721	0.655372	0
scaffold162_661606	661606	661606	0.2	29376.2	0.2	20098.3	0.379552	0.334453	0
scaffold162_679927	679927	679927	0.05	36695.9	0.075	24885.5	0.388381	0.355109	0
scaffold162_679936	679936	679936	0	36696.4	0.1	21755	0.522836	0.669678	0
scaffold162_679937	679937	679937	0.05	36695.9	0.075	21157.4	0.550677	0.734815	0
scaffold162_679964	679964	679964	0.2	32189.8	0.25	18589.1	0.549074	0.731064	0
scaffold162_680002	680002	680002	0.05	35468.8	0.125	20728.3	0.537154	0.703176	0
scaffold162_683765	683765	683765	0	35712.8	0.1	20755.6	0.542695	0.71614	0
scaffold162_683775	683775	683775	0.075	31835.3	0.2	16244.1	0.672844	1.02063	0
scaffold162_683776	683776	683776	0.075	31835.3	0.2	16244.1	0.672844	1.02063	0
scaffold162_683783	683783	683783	0.125	31499.2	0.175	15830.4	0.688031	1.05617	0
scaffold162_683787	683787	683787	0	31500	0.1	15830.5	0.68805	1.05621	0
scaffold162_683788	683788	683788	0	31500	0.1	15830.5	0.68805	1.05621	0
scaffold162_683789	683789	683789	0.125	31499.2	0.275	15896.1	0.683893	1.04648	0
scaffold162_683799	683799	683799	0.05	32603.3	0.075	17351.2	0.63075	0.922152	0
scaffold162_683838	683838	683838	0.05	31539.1	0.125	17344.7	0.597939	0.845388	0
scaffold162_683839	683839	683839	0.075	34949.8	0.125	21599.3	0.481252	0.572389	0
scaffold162_683843	683843	683843	0.05	34974.9	0.075	21638.8	0.48014	0.569787	0
scaffold162_684037	684037	684037	0.05	34974.9	0.075	21638.8	0.48014	0.569787	0
scaffold162_684046	684046	684046	0.125	34948.1	0.35	19027.3	0.60799	0.868903	0
scaffold162_684078	684078	684078	0.075	37030.9	0.125	24993.4	0.39314	0.366243	0
scaffold162_699366	699366	699366	0.45	30351.1	0.25	25131.7	0.188703	-0.112055	0
scaffold162_699568	699568	699568	0.425	30465.6	0.25	25477.7	0.178795	-0.135236	0
scaffold162_699570	699570	699570	0.425	30465.6	0.25	25477.7	0.178795	-0.135236	0
scaffold162_699571	699571	699571	0.425	30465.6	0.25	25477.7	0.178795	-0.135236	0
scaffold162_711322	711322	711322	0	39241.3	0.125	28478.3	0.320588	0.196501	0
scaffold162_720955	720955	720955	0.7	27723.1	0.45	21929.2	0.234449	-0.00502839	0
scaffold162_720983	720983	720983	0.125	27809.6	0.05	27273.8	0.0194547	-0.508026	0
scaffold162_721113	721113	721113	0.1	30024.5	0.05	27651.1	0.082349	-0.36088	0
scaffold162_721144	721144	721144	0.4	30739.4	0.2	28815.7	0.0646249	-0.402347	0
scaffold162_791368	791368	791368	0	45106.4	0.15	32251.2	0.335469	0.231317	0
scaffold162_791385	791385	791385	0.6	33059.9	0.2	30488	0.0809856	-0.364069	0
scaffold162_791645	791645	791645	0.6	33059.9	0.2	30488	0.0809856	-0.364069	0
scaffold162_883302	883302	883302	0.025	46834.2	0.125	33329.5	0.340171	0.242317	0
scaffold162_883333	883333	883333	0.125	43786	0.475	25938.6	0.523581	0.671421	0
scaffold162_903232	903232	903232	0.325	31748.5	0.125	32518.8	-0.0239733	-0.60963	0
scaffold162_980936	980936	980936	0.2	28642.2	0.475	20874.5	0.316356	0.1866	0
scaffold162_980939	980939	980939	0.025	27237.9	0.125	18577.2	0.382677	0.341764	0
scaffold162_980975	980975	980975	0.75	23765.8	0.45	14917.9	0.465685	0.535968	0
scaffold162_980991	980991	980991	0.15	24602.5	0.05	19909.7	0.211643	-0.058385	0
scaffold162_981221	981221	981221	0.05	27946.3	0.075	20897.8	0.290641	0.126438	0
scaffold162_981258	981258	981258	0.25	20558.2	0.175	19379.1	0.0590619	-0.415362	0
scaffold162_1033582	1033582	1.03358e+06	0.15	17581.7	0.075	20336.1	-0.145539	-0.894043	0
scaffold162_1033583	1033583	1.03358e+06	0.075	15149.2	0.025	19386.7	-0.246637	-1.13057	0
scaffold162_1033648	1033648	1.03365e+06	0.2	14808.4	0.075	19331.6	-0.266548	-1.17715	0
scaffold162_1033668	1033668	1.03367e+06	0.075	14830.1	0.025	19341.9	-0.265615	-1.17497	0
scaffold162_1033868	1033868	1.03387e+06	0.125	14903.3	0.05	19359.9	-0.261622	-1.16563	0
scaffold162_1033872	1033872	1.03387e+06	0.575	7473.93	0.3	12822.4	-0.539772	-1.81639	0
scaffold162_1033873	1033873	1.03387e+06	0.125	7801.89	0.05	13240.9	-0.528944	-1.79105	0
scaffold162_1033881	1033881	1.03388e+06	0.4	7205.2	0.25	11498.2	-0.467388	-1.64704	0
scaffold162_1033884	1033884	1.03388e+06	0.175	7587.58	0.05	12587.3	-0.506172	-1.73778	0
scaffold162_1038446	1038446	1.03845e+06	0.025	7885.54	0.1	11614.8	-0.387246	-1.45954	0
scaffold162_1038458	1038458	1.03846e+06	0.175	4649.21	0.475	5187.22	-0.109501	-0.809729	0
scaffold162_1038465	1038465	1.03846e+06	0.325	3748.27	0.175	4749.95	-0.236839	-1.10765	0
scaffold162_1038500	1038500	1.0385e+06	0.675	2676.26	0.4	4288.6	-0.471542	-1.65676	0
scaffold162_1038796	1038796	1.0388e+06	0.6	1976.01	0.35	3044.87	-0.432382	-1.56514	0
scaffold163_122021	122021	122021	0.4	3639.26	0.225	5228.33	-0.362312	-1.4012	0
scaffold163_122022	122022	122022	0.4	3639.26	0.225	5228.33	-0.362312	-1.4012	0
scaffold163_122027	122027	122027	0.575	3661.49	0.3	5232.56	-0.35703	-1.38884	0
scaffold163_122032	122032	122032	0.575	3661.49	0.3	5232.56	-0.35703	-1.38884	0
scaffold163_122049	122049	122049	0.575	3661.49	0.3	5232.56	-0.35703	-1.38884	0
scaffold163_122060	122060	122060	0.075	6929.1	0.225	6635.9	0.043236	-0.452388	0
scaffold163_122255	122255	122255	0.25	6985.88	0.1	6667.22	0.0466891	-0.444309	0
scaffold163_122309	122309	122309	0.125	8282.94	0.15	7760.24	0.0651844	-0.401038	0
scaffold163_122326	122326	122326	0.275	12563.4	0.3	11720.3	0.0694679	-0.391016	0
scaffold163_171049	171049	171049	0.15	17079.3	0.075	16073.8	0.0606751	-0.411588	0
scaffold163_171283	171283	171283	0	18053.3	0.1	13983.1	0.25548	0.0441755	0
scaffold163_171293	171293	171293	0.275	12564.2	0.375	8811.02	0.354849	0.276658	0
scaffold163_172337	172337	172337	0.2	12819.1	0.275	8323.59	0.431839	0.456783	0
scaffold163_172352	172352	172352	0.2	12819.1	0.275	8323.59	0.431839	0.456783	0
scaffold163_172630	172630	172630	0.175	11217.3	0.075	7667.08	0.380519	0.336715	0
scaffold163_172653	172653	172653	0.375	9908.72	0.375	6191.93	0.470168	0.546457	0
scaffold163_172663	172663	172663	0	17183.6	0.1	9589.23	0.583314	0.811172	0
scaffold163_172664	172664	172664	0.35	15881.3	0.375	8293.89	0.649623	0.966307	0
scaffold163_172679	172679	172679	0.2	27774.7	0.175	13400.2	0.728857	1.15168	0
scaffold163_172685	172685	172685	0.2	27774.7	0.2	13644.9	0.71076	1.10934	0
scaffold163_172743	172743	172743	0	43063.4	0.1	21684.1	0.686096	1.05164	0
scaffold163_172961	172961	172961	0	43063.4	0.1	27798.5	0.43769	0.470472	0
scaffold163_172995	172995	172995	0	43063.4	0.1	27798.5	0.43769	0.470472	0
scaffold163_251111	251111	251111	0.05	41549.6	0.275	27002.6	0.430953	0.45471	0
scaffold163_423803	423803	423803	0.225	31785	0.15	28718.2	0.101465	-0.316156	0
scaffold163_423813	423813	423813	0.1	31763.2	0.1	28741.7	0.0999594	-0.319679	0
scaffold163_423814	423814	423814	0.225	21324.7	0.075	25045.7	-0.160835	-0.92983	0
scaffold163_423861	423861	423861	0.1	27289.7	0.1	26498.4	0.0294242	-0.484702	0
scaffold163_424040	424040	424040	0.15	26969	0.025	26436	0.0199627	-0.506838	0
scaffold163_424051	424051	424051	0.15	26969	0.025	26436	0.0199627	-0.506838	0
scaffold163_424058	424058	424058	0.075	27915.9	0.075	25244.3	0.100595	-0.318191	0
scaffold163_424067	424067	424067	0.075	32041.1	0.1	27594.6	0.1494	-0.204008	0
scaffold163_424088	424088	424088	0	32155.6	0.1	24005.7	0.292296	0.13031	0
scaffold163_424143	424143	424143	0.1	32147.3	0.1	24851.3	0.257419	0.0487119	0
scaffold163_424402	424402	424402	0	37439.7	0.1	27347.8	0.314096	0.181313	0
scaffold163_424434	424434	424434	0.025	37157	0.15	27003.7	0.319177	0.1932	0
scaffold163_424446	424446	424446	0.025	37157	0.15	27003.7	0.319177	0.1932	0
scaffold163_483413	483413	483413	0.125	31909.5	0.275	21215.8	0.40816	0.401384	0
scaffold163_483420	483420	483420	0.4	22493.6	0.125	22207.4	0.0128035	-0.523587	0
scaffold163_483457	483457	483457	0	32826.1	0.2	21028.9	0.445327	0.488339	0
scaffold163_504011	504011	504011	0.25	23162.1	0.25	17613.4	0.273857	0.0871701	0
scaffold163_504200	504200	504200	0.025	26456.8	0.15	16514.1	0.471299	0.549103	0
scaffold163_507995	507995	507995	0.05	25022.9	0.05	16858.1	0.394963	0.370508	0
scaffold163_508008	508008	508008	0.025	24361	0.275	12802.9	0.643309	0.951535	0
scaffold163_508164	508164	508164	0.4	17883	0.2	16684.5	0.0693693	-0.391247	0
scaffold163_521645	521645	521645	0.7	15676.9	0.4	14800.9	0.0575001	-0.419016	0
scaffold163_521681	521681	521681	0.7	15676.3	0.225	17031.7	-0.0829293	-0.747563	0
scaffold163_521823	521823	521823	0.2	13594.4	0.025	21296.7	-0.448896	-1.60377	0
scaffold163_521827	521827	521827	0.225	13179.8	0.2	18145	-0.319707	-1.30152	0
scaffold163_521863	521863	521863	0.225	13246.8	0.1	23268.2	-0.56333	-1.8715	0
scaffold163_521893	521893	521893	0.2	18212.1	0	27751.2	-0.421196	-1.53897	0
scaffold163_548059	548059	548059	0.45	17280.9	0.1	25395.8	-0.384983	-1.45424	0
scaffold163_548068	548068	548068	0.425	16854.1	0.1	25395.8	-0.409987	-1.51274	0
scaffold163_548094	548094	548094	0.375	16407.3	0.1	25394.8	-0.436817	-1.57551	0
scaffold163_548114	548114	548114	0.4	16755.3	0.1	25394.8	-0.415826	-1.5264	0
scaffold163_549098	549098	549098	0.075	24349.3	0.1	23490.5	0.0359073	-0.469534	0
scaffold163_549109	549109	549109	0	24350.2	0.2	18018.4	0.301147	0.151017	0
scaffold163_549111	549111	549111	0.075	24349.3	0.1	20370	0.178438	-0.136071	0
scaffold163_549165	549165	549165	0.075	24349.3	0.05	22987.4	0.0575562	-0.418884	0
scaffold163_549166	549166	549166	0.075	24349.3	0.05	22987.4	0.0575562	-0.418884	0
scaffold163_614261	614261	614261	0.05	23807.7	0.375	15556.3	0.425547	0.442062	0
scaffold164_82843	82843	82843	0.075	22689.7	0.225	15715.6	0.367262	0.305699	0
scaffold164_82862	82862	82862	0.125	22965.2	0.225	15715.6	0.379329	0.333931	0
scaffold164_94881	94881	94881	0.125	27292.4	0.375	19354.2	0.343696	0.250564	0
scaffold164_94906	94906	94906	0.125	27292.4	0.375	19039.3	0.360104	0.288952	0
scaffold164_94932	94932	94932	0.125	28202.6	0.325	23596.7	0.178309	-0.136373	0
scaffold164_116917	116917	116917	0.3	25365	0.075	31974.9	-0.231581	-1.09535	0
scaffold164_116918	116918	116918	0.3	25365	0.075	31974.9	-0.231581	-1.09535	0
scaffold164_134590	134590	134590	0.05	27441.3	0.15	26356.2	0.0403434	-0.459155	0
scaffold164_134601	134601	134601	0.4	15167.3	0.2	18880.8	-0.219006	-1.06593	0
scaffold164_134609	134609	134609	0.25	14394	0.15	18369.2	-0.243864	-1.12408	0
scaffold164_134630	134630	134630	0.05	19512.8	0.15	20328.2	-0.0409369	-0.649318	0
scaffold164_134646	134646	134646	0.325	14216.1	0.4	13098	0.0819111	-0.361904	0
scaffold164_134665	134665	134665	0.05	20742.7	0.125	16403.6	0.234695	-0.00445285	0
scaffold164_134751	134751	134751	0.275	19315.9	0.2	18112.6	0.0643191	-0.403062	0
scaffold164_134786	134786	134786	0.1	22520.3	0	22618.2	-0.00433885	-0.563693	0
scaffold164_134810	134810	134810	0.225	22972.9	0.075	22540.5	0.0189985	-0.509094	0
